city,year,weekofyear,total_cases
sj,2008,18,39
sj,2008,19,31
sj,2008,20,29
sj,2008,21,25
sj,2008,22,47
sj,2008,23,39
sj,2008,24,38
sj,2008,25,39
sj,2008,26,26
sj,2008,27,45
sj,2008,28,47
sj,2008,29,29
sj,2008,30,29
sj,2008,31,31
sj,2008,32,38
sj,2008,33,29
sj,2008,34,40
sj,2008,35,37
sj,2008,36,38
sj,2008,37,38
sj,2008,38,38
sj,2008,39,38
sj,2008,40,38
sj,2008,41,26
sj,2008,42,38
sj,2008,43,38
sj,2008,44,25
sj,2008,45,31
sj,2008,46,31
sj,2008,47,37
sj,2008,48,26
sj,2008,49,29
sj,2008,50,25
sj,2008,51,26
sj,2008,52,25
sj,2009,1,25
sj,2009,2,25
sj,2009,3,25
sj,2009,4,26
sj,2009,5,25
sj,2009,6,25
sj,2009,7,25
sj,2009,8,41
sj,2009,9,26
sj,2009,10,38
sj,2009,11,39
sj,2009,12,25
sj,2009,13,26
sj,2009,14,29
sj,2009,15,25
sj,2009,16,25
sj,2009,17,31
sj,2009,18,38
sj,2009,19,26
sj,2009,20,38
sj,2009,21,38
sj,2009,22,38
sj,2009,23,38
sj,2009,24,38
sj,2009,25,38
sj,2009,26,38
sj,2009,27,37
sj,2009,28,38
sj,2009,29,28
sj,2009,30,26
sj,2009,31,38
sj,2009,32,26
sj,2009,33,50
sj,2009,34,38
sj,2009,35,31
sj,2009,36,26
sj,2009,37,39
sj,2009,38,26
sj,2009,39,38
sj,2009,40,38
sj,2009,41,38
sj,2009,42,37
sj,2009,43,26
sj,2009,44,33
sj,2009,45,31
sj,2009,46,38
sj,2009,47,38
sj,2009,48,38
sj,2009,49,30
sj,2009,50,25
sj,2009,51,29
sj,2009,52,25
sj,2010,53,25
sj,2010,1,25
sj,2010,2,26
sj,2010,3,25
sj,2010,4,26
sj,2010,5,25
sj,2010,6,25
sj,2010,7,25
sj,2010,8,37
sj,2010,9,25
sj,2010,10,25
sj,2010,11,25
sj,2010,12,26
sj,2010,13,25
sj,2010,14,41
sj,2010,15,25
sj,2010,16,38
sj,2010,17,38
sj,2010,18,31
sj,2010,19,38
sj,2010,20,45
sj,2010,21,40
sj,2010,22,38
sj,2010,23,38
sj,2010,24,38
sj,2010,25,38
sj,2010,26,39
sj,2010,27,32
sj,2010,28,38
sj,2010,29,38
sj,2010,30,38
sj,2010,31,31
sj,2010,32,30
sj,2010,33,38
sj,2010,34,37
sj,2010,35,38
sj,2010,36,38
sj,2010,37,38
sj,2010,38,31
sj,2010,39,38
sj,2010,40,38
sj,2010,41,38
sj,2010,42,29
sj,2010,43,30
sj,2010,44,39
sj,2010,45,38
sj,2010,46,38
sj,2010,47,30
sj,2010,48,30
sj,2010,49,25
sj,2010,50,38
sj,2010,51,31
sj,2011,52,26
sj,2011,1,26
sj,2011,2,26
sj,2011,3,33
sj,2011,4,25
sj,2011,5,25
sj,2011,6,25
sj,2011,7,25
sj,2011,8,25
sj,2011,9,26
sj,2011,10,38
sj,2011,11,25
sj,2011,12,25
sj,2011,13,31
sj,2011,14,29
sj,2011,15,25
sj,2011,16,40
sj,2011,17,30
sj,2011,18,38
sj,2011,19,26
sj,2011,20,39
sj,2011,21,39
sj,2011,22,39
sj,2011,23,39
sj,2011,24,38
sj,2011,25,38
sj,2011,26,39
sj,2011,27,39
sj,2011,28,38
sj,2011,29,38
sj,2011,30,38
sj,2011,31,38
sj,2011,32,38
sj,2011,33,31
sj,2011,34,38
sj,2011,35,38
sj,2011,36,38
sj,2011,37,37
sj,2011,38,38
sj,2011,39,38
sj,2011,40,38
sj,2011,41,38
sj,2011,42,37
sj,2011,43,26
sj,2011,44,29
sj,2011,45,38
sj,2011,46,38
sj,2011,47,25
sj,2011,48,26
sj,2011,49,26
sj,2011,50,38
sj,2011,51,25
sj,2012,52,31
sj,2012,1,25
sj,2012,2,25
sj,2012,3,25
sj,2012,4,25
sj,2012,5,25
sj,2012,6,26
sj,2012,7,25
sj,2012,8,25
sj,2012,9,25
sj,2012,10,31
sj,2012,11,26
sj,2012,12,38
sj,2012,13,38
sj,2012,14,38
sj,2012,15,38
sj,2012,16,38
sj,2012,17,30
sj,2012,18,26
sj,2012,19,38
sj,2012,20,38
sj,2012,21,44
sj,2012,22,73
sj,2012,23,26
sj,2012,24,29
sj,2012,25,40
sj,2012,26,25
sj,2012,27,26
sj,2012,28,38
sj,2012,29,41
sj,2012,30,37
sj,2012,31,45
sj,2012,32,38
sj,2012,33,38
sj,2012,34,38
sj,2012,35,39
sj,2012,36,30
sj,2012,37,30
sj,2012,38,31
sj,2012,39,38
sj,2012,40,38
sj,2012,41,38
sj,2012,42,40
sj,2012,43,39
sj,2012,44,38
sj,2012,45,31
sj,2012,46,38
sj,2012,47,38
sj,2012,48,38
sj,2012,49,30
sj,2012,50,38
sj,2012,51,25
sj,2013,1,40
sj,2013,2,25
sj,2013,3,25
sj,2013,4,25
sj,2013,5,25
sj,2013,6,25
sj,2013,7,25
sj,2013,8,25
sj,2013,9,25
sj,2013,10,38
sj,2013,11,25
sj,2013,12,25
sj,2013,13,39
sj,2013,14,26
sj,2013,15,25
sj,2013,16,25
sj,2013,17,38
iq,2010,26,7
iq,2010,27,5
iq,2010,28,7
iq,2010,29,7
iq,2010,30,7
